iter	Logloss
0	0.6640693388
1	0.6364688137
2	0.6109866949
3	0.5881894641
4	0.5689255953
5	0.5496082324
6	0.532049733
7	0.515906232
8	0.5014990863
9	0.4881808923
10	0.4754416368
11	0.4644917471
12	0.4543353974
13	0.4455772646
14	0.4368305954
15	0.4290530025
16	0.4221380366
17	0.4150655921
18	0.4080917229
19	0.4023500324
20	0.3973070893
21	0.391719949
22	0.3874443695
23	0.3829051168
24	0.3786615298
25	0.3746303973
26	0.3709724797
27	0.3674098129
28	0.3645883699
29	0.3625774596
30	0.358894392
31	0.3553772316
32	0.3532601397
33	0.3510189972
34	0.3481811067
35	0.345580911
36	0.3432992631
37	0.3410955652
38	0.3395079996
39	0.3372796327
40	0.3355716636
41	0.333194716
42	0.3316791964
43	0.3305259925
44	0.3286987466
45	0.327648223
46	0.3260367791
47	0.32500808
48	0.32421482
49	0.3232510581
50	0.321801919
51	0.3206243002
52	0.3193786677
53	0.3184903641
54	0.3176925019
55	0.3170048852
56	0.3161919866
57	0.3154762724
58	0.314520389
59	0.3129936424
60	0.3124202159
61	0.3116559513
62	0.310982327
63	0.3099617557
64	0.3092361952
65	0.3086671554
66	0.3077982408
67	0.307032056
68	0.306192771
69	0.3054254553
70	0.3046887207
71	0.3040277696
72	0.3034073357
73	0.3030037067
74	0.3021793989
75	0.3013272753
76	0.3007349672
77	0.3002794362
78	0.2995372319
79	0.2989054074
80	0.2982643932
81	0.2978099037
82	0.2974603037
83	0.2970891586
84	0.2963600857
85	0.2957773875
86	0.2950143516
87	0.2946451563
88	0.2934479878
89	0.2924722765
90	0.2919705632
91	0.2914036451
92	0.290851604
93	0.2904894768
94	0.2901382748
95	0.289742861
96	0.2893083387
97	0.2887619328
98	0.2884586028
99	0.2880320569
100	0.2875922667
101	0.2868688651
102	0.2864086818
103	0.2860018095
104	0.2855412161
105	0.2850237982
106	0.284254555
107	0.2838584336
108	0.2831195094
109	0.2825209655
110	0.2822904622
111	0.2820150668
112	0.2816180186
113	0.2813444679
114	0.2805952195
115	0.2802791067
116	0.2800069967
117	0.2796809187
118	0.2792361256
119	0.2787945048
120	0.2784719621
121	0.2779583019
122	0.2777025818
123	0.2773160719
124	0.2769284598
125	0.2767260171
126	0.2763603174
127	0.2760243523
128	0.2758456395
129	0.2755898924
130	0.2753740709
131	0.274913908
132	0.2747045241
133	0.2743395904
134	0.274005196
135	0.2737889566
136	0.27345604
137	0.2731823475
138	0.2729282453
139	0.2725622199
140	0.2723901396
141	0.2719403195
142	0.2715884939
143	0.2713189887
144	0.2709374066
145	0.2704853052
146	0.2702307849
147	0.2699039986
148	0.2693643113
149	0.269069211
150	0.2686923269
151	0.2685025897
152	0.2681756705
153	0.2679140573
154	0.2675281214
155	0.2671807038
156	0.2670025273
157	0.2667812971
158	0.2665017378
159	0.2660886713
160	0.2658025622
161	0.2653022231
162	0.265090197
163	0.2646392095
164	0.2643904726
165	0.2641199136
166	0.2638379467
167	0.26348451
168	0.2631060638
169	0.2628958891
170	0.2626102629
171	0.2622714227
172	0.2620789218
173	0.2617735884
174	0.2615595455
175	0.2613400816
176	0.2609496946
177	0.2606784075
178	0.2604097977
179	0.2601544809
180	0.259908041
181	0.2597333564
182	0.2592745019
183	0.2590682066
184	0.2589152228
185	0.2585533399
186	0.2582774668
187	0.2581146843
188	0.2578435698
189	0.2577150713
190	0.2574016193
191	0.2571631895
192	0.2569306836
193	0.2566857258
194	0.2564222894
195	0.2562422115
196	0.2561240853
197	0.2556955849
198	0.2555420879
199	0.2553596657
200	0.2549965872
201	0.2545964398
202	0.2543360383
203	0.2541212281
204	0.2539432902
205	0.2537082049
206	0.2535271497
207	0.2533275278
208	0.2531050671
209	0.2529149262
210	0.2527361685
211	0.2525290633
212	0.2519109424
213	0.2516883128
214	0.2515710266
215	0.2514033664
216	0.2512051048
217	0.2509427879
218	0.2507907055
219	0.2506327918
220	0.2502804393
221	0.2500870249
222	0.2497483091
223	0.2494727909
224	0.2493057064
225	0.2489884041
226	0.2486146525
227	0.2483336846
228	0.2480341392
229	0.2476762412
230	0.2474255037
231	0.2472821113
232	0.2470817055
233	0.2469293999
234	0.2467458772
235	0.246501023
236	0.246260576
237	0.2461068495
238	0.2458052232
239	0.2456313865
240	0.2453980081
241	0.2451851097
242	0.2448515728
243	0.2446674375
244	0.244429042
245	0.2443124773
246	0.2441005565
247	0.2438031765
248	0.243654137
249	0.2435230364
250	0.243390246
251	0.2432089487
252	0.2429822415
253	0.2428562659
254	0.2426065712
255	0.2424794524
256	0.2423804755
257	0.2422782692
258	0.2420633055
259	0.2417902459
260	0.2416445393
261	0.2413992005
262	0.241095233
263	0.2409100037
264	0.2407348633
265	0.2405901078
266	0.2404916616
267	0.2402522715
268	0.2400906368
269	0.2398429186
270	0.2394007938
271	0.2392669859
272	0.2390655814
273	0.2387572218
274	0.2384306203
275	0.2382137954
276	0.2379798105
277	0.2378186093
278	0.2376651115
279	0.2375073029
280	0.2372620524
281	0.2369779721
282	0.2367516533
283	0.2365764239
284	0.2365012003
285	0.2362284156
286	0.2358726608
287	0.2356333938
288	0.2355004949
289	0.2352978771
290	0.2349027276
291	0.2346634973
292	0.2344261332
293	0.234166048
294	0.2339331678
295	0.2337806766
296	0.2335085045
297	0.2330424527
298	0.2328615599
