iter	Passed	Remaining
0	175	175821
1	183	91513
2	193	64276
3	199	49772
4	209	41688
5	215	35764
6	224	31866
7	231	28718
8	241	26592
9	248	24603
10	257	23178
11	264	21764
12	272	20666
13	278	19616
14	286	18831
15	293	18025
16	300	17389
17	307	16753
18	314	16214
19	324	15898
20	335	15654
21	344	15301
22	355	15085
23	363	14762
24	372	14510
25	384	14401
26	393	14164
27	401	13947
28	408	13664
29	415	13433
30	421	13183
31	428	12963
32	435	12772
33	442	12560
34	450	12420
35	456	12236
36	465	12115
37	472	11952
38	479	11819
39	486	11668
40	492	11516
41	502	11471
42	514	11453
43	523	11383
44	532	11290
45	538	11162
46	546	11082
47	552	10961
48	560	10886
49	568	10797
50	576	10725
51	582	10621
52	588	10518
53	597	10466
54	603	10372
55	612	10332
56	619	10244
57	627	10186
58	633	10101
59	641	10051
60	648	9975
61	654	9897
62	663	9864
63	669	9792
64	677	9745
65	683	9674
66	691	9630
67	697	9563
68	704	9499
69	712	9465
70	718	9407
71	728	9384
72	734	9328
73	743	9309
74	750	9260
75	761	9259
76	769	9222
77	782	9255
78	794	9257
79	801	9218
80	811	9212
81	818	9165
82	830	9174
83	839	9153
84	847	9120
85	856	9106
86	864	9067
87	872	9039
88	878	8991
89	884	8943
90	892	8913
91	898	8868
92	905	8835
93	912	8791
94	920	8766
95	929	8755
96	938	8735
97	944	8694
98	953	8675
99	959	8639
100	966	8605
101	974	8577
102	980	8538
103	987	8507
104	993	8469
105	1003	8462
106	1011	8444
107	1023	8457
108	1037	8484
109	1047	8471
110	1056	8458
111	1067	8463
112	1078	8465
113	1091	8484
114	1101	8474
115	1108	8450
116	1119	8446
117	1125	8411
118	1133	8392
119	1139	8359
120	1147	8338
121	1258	9057
122	1276	9102
123	1398	9879
124	1416	9913
125	1452	10078
126	1460	10040
127	1467	9995
128	1474	9955
129	1481	9916
130	1490	9889
131	1499	9857
132	1507	9828
133	1514	9790
134	1524	9770
135	1531	9728
136	1537	9684
137	1544	9649
138	1551	9607
139	1558	9573
140	1564	9532
141	1572	9498
142	1578	9459
143	1584	9418
144	1592	9392
145	1599	9354
146	1606	9324
147	1614	9294
148	1621	9263
149	1628	9226
150	1634	9190
151	1642	9161
152	1648	9127
153	1656	9099
154	1662	9064
155	1670	9035
156	1676	9000
157	1682	8965
158	1690	8941
159	1696	8907
160	1703	8878
161	1710	8849
162	1716	8815
163	1724	8793
164	1731	8761
165	1739	8741
166	1746	8709
167	1753	8684
168	1765	8680
169	1777	8676
170	1790	8680
171	1797	8650
172	1810	8653
173	1821	8649
174	1828	8619
175	1840	8616
176	1846	8587
177	1858	8584
178	1868	8570
179	1877	8551
180	1889	8551
181	1896	8522
182	1907	8517
183	1916	8498
184	1925	8481
185	1934	8465
186	1942	8443
187	1951	8427
188	1957	8399
189	1965	8380
190	1972	8354
191	1978	8326
192	1987	8308
193	1993	8283
194	2003	8269
195	2009	8242
196	2017	8223
197	2023	8196
198	2031	8177
199	2037	8150
200	2046	8134
201	2054	8115
202	2063	8100
203	2070	8079
204	2079	8065
205	2085	8039
206	2091	8013
207	2099	7994
208	2105	7968
209	2113	7951
210	2119	7926
211	2127	7907
212	2133	7883
213	2139	7859
214	2147	7839
215	2153	7815
216	2160	7795
217	2166	7771
218	2172	7746
219	2181	7734
220	2187	7710
221	2194	7691
222	2200	7668
223	2208	7649
224	2214	7628
225	2220	7605
226	2228	7588
227	2234	7565
228	2242	7548
229	2248	7527
230	2254	7504
231	2261	7486
232	2267	7464
233	2274	7446
234	2280	7424
235	2287	7403
236	2294	7386
237	2300	7365
238	2308	7350
239	2314	7329
240	2320	7309
241	2329	7296
242	2335	7276
243	2344	7264
244	2350	7243
245	2358	7227
246	2364	7207
247	2371	7190
248	2377	7169
249	2383	7149
250	2390	7133
251	2396	7113
252	2404	7100
253	2411	7083
254	2418	7065
255	2426	7051
256	2432	7033
257	2439	7017
258	2446	6998
259	2453	6984
260	2459	6965
261	2467	6950
262	2476	6940
263	2483	6924
264	2492	6913
265	2498	6894
266	2505	6879
267	2512	6861
268	2519	6846
269	2526	6830
270	2532	6812
271	2540	6798
272	2546	6780
273	2553	6766
274	2559	6748
275	2566	6731
276	2573	6716
277	2578	6697
278	2587	6686
279	2593	6669
280	2601	6656
281	2607	6639
282	2613	6622
283	2621	6608
284	2626	6590
285	2635	6578
286	2641	6561
287	2648	6547
288	2654	6531
289	2660	6514
290	2667	6500
291	2674	6483
292	2681	6470
293	2687	6453
294	2693	6438
295	2701	6424
296	2707	6408
297	2714	6395
298	2720	6378
299	2727	6364
300	2735	6351
301	2741	6336
302	2749	6325
303	2755	6309
304	2763	6296
305	2769	6280
306	2776	6268
307	2786	6259
308	2797	6255
309	2805	6244
310	2815	6237
311	2823	6225
312	2833	6218
313	2841	6207
314	2853	6205
315	2864	6200
316	2872	6188
317	2880	6177
318	2886	6162
319	2894	6150
320	2899	6134
321	2906	6119
322	2913	6107
323	2919	6092
324	2928	6082
325	2937	6073
326	2948	6068
